FechaHora,Usuario,IP,MAC,PON_Serial,Modelo,VLAN,SSID_2G,SSID_5G,Resultado,Detalles
2026-09-01 21:00:56,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,3,Powerlink_Wi-Fi,Powerlink_Wi-Fi_5G,PARCIAL,VLAN 3: OK | Wi-Fi 2.4G: NO VERIFICADO | Wi-Fi 5G: OK
2026-09-01 21:01:54,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,3,Powerlink_Wi-Fi,Powerlink_Wi-Fi_5G,PARCIAL,VLAN 3: OK | Wi-Fi 2.4G: NO VERIFICADO | Wi-Fi 5G: OK
2026-09-01 21:07:36,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,127,Prueba,Prueba_5G,PARCIAL,VLAN 127: NO VERIFICADA | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:20:39,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,3,Powerlink_Wi-Fi,Powerlink_Wi-Fi_5G,EXITO,VLAN 3: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:21:30,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,3,Powerlink_Wi-Fi,Powerlink_Wi-Fi_5G,EXITO,VLAN 3: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:28:26,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,217,Prueba,Prueba_5G,EXITO,VLAN 217: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:30:51,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,127,Prueba,Prueba_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:37:29,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,3,Powerlink_E2E,Powerlink_E2E_5G,EXITO,VLAN 3: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-01 21:48:11,admin,3.3.2.19,,4c46d1-4c46d1e4a079,V2804AX30-H,123,Test,Test_5G,EXITO,VLAN 123: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-03 19:17:09,admin,3.3.2.19,,,VSOL,3,Powerlink_E2E,Powerlink_E2E_5G,ERROR,La ONU en 3.3.2.19 no responde a peticiones HTTP.
2026-09-03 22:41:53,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,100,Wifi prueba,Wifi prueba_5G,EXITO,VLAN 100: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-03 22:42:54,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Wifi prueba,Wifi prueba_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-03 22:44:31,admin,3.3.2.21,,VSOL00E4B181,VSOLVD64,127,Wifi prueba,Wifi prueba_5G,EXITO,Migrada a VLAN 127 en SmartOLT
2026-09-03 22:45:04,admin,3.3.2.21,,VSOL00E4B181,VSOLVD64,127,Wifi prueba,Wifi prueba_5G,EXITO,Migrada a VLAN 127 en SmartOLT
2026-09-03 22:50:37,admin,192.168.1.1,AA:BB:CC:DD:EE:FF,VSOL00E4B181,VSOLVD64,127,Test_2G,Test_5G,EXITO,Migrada a VLAN 127 en SmartOLT
2026-09-03 22:50:43,admin,,,VSOL00E4B181,VSOLVD64,127,,,EXITO,Migrada a VLAN 127 en SmartOLT
2026-09-04 13:11:54,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Prueba de wifi,Prueba de wifi_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 13:12:40,admin,3.3.2.21,,VSOL00E4B181,VSOLVD64,127,Prueba de wifi,Prueba de wifi_5G,EXITO,Migrada a VLAN 127 en SmartOLT
2026-09-04 15:28:57,admin,3.3.2.19,AA:BB:CC,VSOLTEST1,VSOLVD64,127,Wifi2,Wifi5,EXITO,Prueba con usuario
2026-09-04 16:09:09,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Test,Test_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 16:35:13,admin,3.3.,,,VSOL,127,Verifica,Verifica_5G,ERROR,La ONU en 3.3. no responde a peticiones HTTP.
2026-09-04 16:36:34,admin,4c:46:d1:e4:b1:82,,,VSOL,127,Verifica,Verifica_5G,ERROR,La ONU en 4c:46:d1:e4:b1:82 no responde a peticiones HTTP.
2026-09-04 16:43:12,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Veri,Veri_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 16:46:05,laura,3.3.2.21,,VSOL00E4B181,VSOLVD64,127,Veri,Veri_5G,EXITO (Liberada),VLAN 127 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Ruby.
2026-09-04 17:04:30,admin,3.3.2.21,,4c46d1-4c46d1e4b181,V2804AX30-H,127,Wifi prueba,Wifi prueba_5G,EXITO,VLAN 127: OK | Wi-Fi 2.4G: OK | Wi-Fi 5G: OK
2026-09-04 17:20:42,laura,3.3.2.21,4c:46:d1:e4:b1:82,VSOL00E4B181,VSOLVD64,127,Wifi prueba,Wifi prueba_5G,EXITO (Liberada),VLAN 127 grabada en ONU. Liberada en SmartOLT para aprovisionamiento por Ruby.
