FechaHora,Puerto/ID,IP,MAC,PON/Serial,PON Formateado,Resultado,VLAN3 Verificada,Detalles
2026-08-14 19:10:25,5,10.100.5.1,,,,ERROR,NO,Fallo: Page.goto: net::ERR_CONNECTION_REFUSED at http://10.100.5.1/ Call log:   - navigating to "http://10.100.5.1/"; waiting until "load" 
2026-08-14 19:10:35,3,10.100.3.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-08-14 19:11:15,2,10.100.2.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:11:15,5,10.100.5.1,,,,ERROR,NO,Fallo: Locator.fill: Timeout 30000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("input[type='text']").first     - locator resolved to <input type="text" tabindex="0" id="el-id-6583-4" autocomplete="off" class="el-input__inner"/> 
2026-08-14 19:11:35,8,10.100.8.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-08-14 19:12:36,1,10.100.1.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:12:52,4,10.100.4.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:14:56,3,10.100.3.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:15:11,5,10.100.5.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:16:09,7,10.100.7.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:16:20,8,10.100.8.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:18:15,6,10.100.6.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:27:56,6,10.100.6.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:32:34,7,10.100.7.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:34:08,2,10.100.2.1,,,,ERROR,NO,Fallo: Locator.wait_for: Timeout 10000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("button").first to be visible 
2026-08-14 19:34:54,3,10.100.3.1,,,,ERROR,NO,Fallo: Page.goto: net::ERR_CONNECTION_REFUSED at http://10.100.3.1/ Call log:   - navigating to "http://10.100.3.1/"; waiting until "load" 
2026-08-14 19:37:15,1,10.100.1.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:37:42,2,10.100.2.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:39:11,4,10.100.4.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:39:12,3,10.100.3.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:40:43,8,10.100.8.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:41:15,6,10.100.6.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:42:20,5,10.100.5.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:49:20,1,10.100.1.1,,,,ERROR,NO,Fallo: Page.goto: net::ERR_CONNECTION_REFUSED at http://10.100.1.1/ Call log:   - navigating to "http://10.100.1.1/"; waiting until "load" 
2026-08-14 19:50:53,4,10.100.4.1,,,,EXITO_LOGIN_FINAL,NO,Login final OK pero VLAN3 no verificada (revisar)
2026-08-14 19:52:03,2,10.100.2.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:52:33,1,10.100.1.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:52:38,3,10.100.3.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:54:42,5,10.100.5.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:55:52,8,10.100.8.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:56:01,6,10.100.6.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 19:56:07,7,10.100.7.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 20:06:37,7,10.100.7.1,,,,EXITO_LOGIN_FINAL,NO,Login final OK pero VLAN3 no verificada (revisar)
2026-08-14 20:08:51,3,10.100.3.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 20:08:52,1,10.100.1.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 20:09:19,4,10.100.4.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 20:10:20,8,10.100.8.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-08-14 20:12:16,5,10.100.5.1,,,,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
